Compiled Apr 28 2018 16:09:55
ibuf at 0x7fbf8d3ed000
dbuf at 0x7fbf7cf0b000
232:	394.00	396.74	397.93
233:	394.30	397.06	398.04
234:	394.64	397.46	398.43
235:	296.38	316.23	358.50
236:	306.30	366.54	397.83
237:	394.80	397.62	398.54
238:	395.41	398.15	399.12
239:	395.61	398.45	399.34
240:	396.05	398.80	399.68
241:	316.36	348.68	400.10
242:	397.11	400.03	401.05
243:	397.47	400.46	401.46
244:	398.03	400.88	401.96
245:	398.63	401.61	402.36
246:	399.34	402.24	403.57
247:	399.94	403.02	404.20
248:	400.65	403.48	404.74
249:	401.04	403.78	406.29
