num_ops, minimum, maximum, median, average, first_q, third_q, std_dev
19  0.596  0.952  0.8334999999999999  0.8231403508771928  0.772  0.8785000000000001  0.07635694998101483
24  0.589  0.954  0.839  0.826438596491228  0.786  0.87375  0.06579687443754043
29  0.652  0.949  0.884  0.8746173913043477  0.8525  0.906  0.04665033344560371
34  0.635  0.986  0.855  0.8498938053097346  0.801  0.902  0.07345341824511163
39  0.691  0.964  0.879  0.8719210526315788  0.84925  0.90375  0.04650299834454031
44  0.702  0.933  0.836  0.8298421052631579  0.7922500000000001  0.865  0.05145489916615761
49  0.605  0.929  0.8254999999999999  0.819026315789474  0.77  0.876  0.07151928466790652
54  0.534  0.984  0.815  0.8149203539823011  0.744  0.903  0.10422755411618771
59  0.515  0.937  0.8225  0.8082456140350879  0.767  0.86775  0.08503059938422465
64  0.576  0.932  0.808  0.7907456140350878  0.74225  0.84975  0.07921897382632928
69  0.615  0.937  0.8325  0.8223333333333334  0.7875000000000001  0.87325  0.06913838990795439
74  0.668  0.944  0.848  0.8411403508771929  0.81125  0.8842500000000001  0.05482442105245193
79  0.673  0.937  0.8445  0.8363771929824564  0.80625  0.8734999999999999  0.0513400070310203
84  0.556  0.9  0.8065  0.798157894736842  0.7537499999999999  0.85575  0.06825732772787345
89  0.272  0.909  0.71  0.6793245614035087  0.5902499999999999  0.76975  0.12447613000329463
94  0.063  0.926  0.544  0.5224210526315791  0.34099999999999997  0.7250000000000001  0.228550193908765
99  0.161  0.843  0.5905  0.5787543859649122  0.4925  0.6859999999999999  0.12415797530420873
104  0.227  0.817  0.6255  0.6088070175438595  0.52025  0.7117499999999999  0.12466318673206085
109  0.002  0.911  0.545  0.5276754385964912  0.419  0.6617500000000001  0.20055092959557616
114  0.008  0.838  0.5885  0.5263771929824562  0.4235  0.64725  0.1812351090241564
119  0.104  0.981  0.6405000000000001  0.6426666666666665  0.5375000000000001  0.7725  0.18929025640426042
124  0.187  0.796  0.5854999999999999  0.5726052631578945  0.50075  0.671  0.12840038929964023
129  0.124  0.804  0.5665  0.5459298245614034  0.4495  0.672  0.15234878722899195
134  0.132  0.922  0.621  0.6054035087719298  0.51225  0.7015  0.15178312779233852
139  0.0  0.795  0.373  0.34875221238938053  0.17  0.531  0.20722581975036683
144  0.079  0.896  0.5215000000000001  0.48875438596491233  0.4055  0.58675  0.14681033004212984
149  0.137  0.678  0.4395  0.42864912280701734  0.331  0.52575  0.12378383694450668
154  0.003  0.03  0.013  0.013894736842105255  0.01  0.017  0.005714506657118941
159  0.0  0.002  0.001  0.0009824561403508779  0.001  0.001  0.0002643248977775327
164  0.0  0.002  0.001  0.0009649122807017551  0.001  0.001  0.0002267166312863173
169  0.0  0.002  0.001  0.0009824561403508779  0.001  0.001  0.00022874394404219823
174  0.0  0.002  0.001  0.0010000000000000007  0.001  0.001  0.00022941573387056177
179  0.0  0.002  0.001  0.0009649122807017551  0.001  0.001  0.0002625724481946625
184  0.0  0.001  0.001  0.0009912280701754393  0.001  0.001  9.324689309416357e-05
189  0.0  0.002  0.001  0.0010000000000000007  0.001  0.001  0.0001873171623163388
194  0.0  0.002  0.001  0.0009649122807017551  0.001  0.001  0.0002267166312863173
