14  0.704  1.0  0.993  0.9684848920863341  0.97  0.997  0.05064808179010466
19  0.886  1.0  0.995  0.9931988555078721  0.993  0.997  0.00929744985452645
24  0.862  1.0  0.997  0.9955736994219688  0.995  0.999  0.007986553125281749
29  0.942  1.0  0.997  0.9960673352435567  0.995  0.999  0.005036803695441025
34  0.937  1.0  0.996  0.9943439306358416  0.993  0.998  0.0068701987447872676
39  0.913  1.0  0.997  0.9951045845272234  0.994  0.998  0.006390286922175424
44  0.778  1.0  0.995  0.9915743145743173  0.99  0.997  0.015619826025872764
49  0.803  1.0  0.992  0.9902692307692345  0.987  0.996  0.011276385037867596
54  0.835  1.0  0.997  0.9945057803468237  0.994  0.999  0.010969148596078497
59  0.781  1.0  0.993  0.9869268292682946  0.989  0.996  0.025632130691884705
64  0.791  1.0  0.996  0.9938769898697573  0.994  0.998  0.01274170336111264
69  0.826  1.0  0.996  0.9924236311239214  0.992  0.998  0.015165819887721614
74  0.688  1.0  0.989  0.9735402298850605  0.97575  0.995  0.042428826027926726
79  0.858  1.0  0.994  0.9872803468208109  0.989  0.997  0.01969212500374077
84  0.826  1.0  0.993  0.9897302725968465  0.987  0.997  0.014757790601116701
89  0.435  1.0  0.99  0.9693390804597717  0.982  0.994  0.06841728768613134
94  0.441  0.999  0.984  0.9427727930535471  0.949  0.991  0.09964442810732374
99  0.677  0.999  0.984  0.9769595375722568  0.976  0.991  0.03168260374610934
104  0.529  1.0  0.983  0.9735028901734114  0.97275  0.989  0.03652394483842336
109  0.183  0.997  0.973  0.9609638728323705  0.957  0.984  0.0576246085942196
114  0.254  1.0  0.975  0.9604641833810896  0.958  0.986  0.06301079641633497
119  0.512  0.996  0.969  0.9587366906474819  0.953  0.981  0.043191772704254165
124  0.505  0.997  0.971  0.9557672413793109  0.954  0.983  0.05764883652043749
129  0.094  0.999  0.978  0.9681486291486318  0.965  0.988  0.05567478867566865
134  0.537  0.998  0.978  0.9696425470332862  0.964  0.987  0.036518708587107436
139  0.0  0.997  0.955  0.82506946454414  0.793  0.983  0.24093512546458762
144  0.0  0.996  0.977  0.9645910404624292  0.963  0.986  0.06659407341023903
149  0.524  0.997  0.977  0.9670664739884398  0.964  0.986  0.04627682696725044
154  0.516  0.996  0.975  0.9609913793103451  0.961  0.984  0.0532987129229865
159  0.198  0.998  0.974  0.9611486291486296  0.96  0.986  0.06784407991282251
164  0.027  0.997  0.968  0.9460201729106642  0.952  0.981  0.09030253121306152
169  0.014  0.997  0.975  0.96356069364162  0.962  0.98525  0.06259465030589839
174  0.46  0.998  0.975  0.9593022922636112  0.957  0.986  0.0594666025112396
179  0.297  0.998  0.969  0.9293690303907391  0.9285000000000001  0.983  0.1044400471098344
184  0.279  0.997  0.979  0.9660260115606943  0.964  0.987  0.05414903342173835
189  0.411  0.998  0.976  0.9694670487106042  0.964  0.986  0.0389895243832716
194  0.0  0.998  0.973  0.9615590778097988  0.959  0.984  0.06252894520299024
199  0.206  0.999  0.975  0.9556866952789702  0.958  0.986  0.07858010671043839
204  0.538  0.998  0.977  0.9652369942196548  0.964  0.986  0.04811043913716715
209  0.0  0.994  0.972  0.9575467625899292  0.958  0.981  0.07624264776645705
214  0.306  0.918  0.874  0.8635390173410395  0.857  0.885  0.05133058934497625
219  0.186  0.606  0.518  0.51345050215208  0.498  0.535  0.04023946509830582
224  0.0  0.002  0.001  0.0006926406926406932  0.0  0.001  0.0004645164867094785
229  0.0  0.001  0.001  0.0006959654178674357  0.0  0.001  0.0004599973423836724
234  0.0  0.002  0.001  0.0007041847041847047  0.0  0.001  0.0004595591468603446
239  0.0  0.002  0.001  0.0007066473988439312  0.0  0.001  0.00046472289892176747
244  0.0  0.002  0.001  0.0006969696969696975  0.0  0.001  0.00046269746202207406
249  0.0  0.002  0.001  0.0007089337175792513  0.0  0.001  0.0004605544380627775
254  0.0  0.002  0.001  0.000695526695526696  0.0  0.001  0.00046641324714079106
259  0.0  0.002  0.001  0.0006883116883116888  0.0  0.001  0.00046628822731354096
