Compiled Apr 24 2018 11:46:42
ibuf at 0x7fd56e341000
dbuf at 0x7fd55de75000
50:	132.00	182.47	218.76
51:	143.34	178.52	203.90
52:	140.40	175.22	204.95
53:	150.72	175.91	197.55
54:	152.99	175.34	195.57
55:	148.30	174.27	196.10
56:	141.15	165.18	194.11
57:	135.43	161.10	200.83
58:	149.14	176.27	196.89
59:	141.66	177.01	205.14
60:	154.02	177.96	195.27
61:	152.38	177.52	192.57
62:	153.71	176.64	193.98
63:	147.91	178.28	206.91
64:	140.38	177.94	206.39
65:	141.82	176.83	207.07
66:	144.50	176.47	209.60
67:	145.02	176.76	210.85
68:	139.56	176.25	209.83
69:	144.07	175.01	207.59
70:	143.09	176.64	210.93
71:	147.54	177.86	205.81
72:	146.68	177.57	221.44
73:	145.89	175.22	205.19
74:	147.54	176.80	206.52
75:	146.93	175.20	204.25
76:	146.44	176.18	202.84
77:	144.98	177.29	206.33
78:	140.69	176.21	210.72
79:	140.80	177.62	212.95
80:	143.14	176.52	210.16
81:	145.73	176.89	210.83
82:	146.70	178.49	222.70
83:	144.53	177.44	205.97
84:	146.75	176.59	207.81
85:	148.10	178.37	226.18
86:	143.73	179.33	222.95
87:	148.19	179.64	215.07
88:	146.46	178.61	210.74
89:	142.19	179.12	227.12
90:	143.85	180.03	236.08
91:	143.59	180.65	230.60
92:	145.48	181.21	244.56
93:	146.42	180.63	222.21
94:	156.92	180.85	202.13
95:	144.92	182.83	253.84
96:	146.30	183.36	257.20
97:	143.88	183.60	303.59
98:	147.99	182.15	243.52
99:	148.64	182.34	216.59
100:	145.74	184.84	278.32
101:	144.73	184.25	248.98
102:	145.34	184.08	263.06
103:	144.87	187.03	292.25
104:	150.27	184.28	255.32
105:	154.41	184.71	246.83
106:	144.25	183.55	279.20
107:	143.94	176.64	268.91
108:	142.99	170.51	231.19
109:	138.09	170.94	223.88
110:	147.23	189.76	293.66
111:	154.94	189.49	266.48
112:	151.00	196.04	331.43
113:	144.43	191.89	354.41
114:	157.01	188.09	250.54
115:	163.46	189.51	211.85
116:	150.16	192.93	324.25
117:	158.46	190.97	254.69
118:	159.30	193.88	358.74
119:	156.62	194.87	340.45
120:	164.13	190.44	207.68
121:	161.40	194.19	261.55
122:	156.20	196.72	341.22
123:	152.55	195.51	343.27
124:	157.44	199.36	321.81
125:	161.05	199.36	282.72
126:	152.56	199.11	374.85
127:	159.15	195.58	295.19
128:	159.19	193.90	262.67
129:	159.27	193.66	258.62
130:	162.57	194.86	257.21
131:	160.48	193.63	249.60
132:	165.00	194.05	220.49
133:	160.94	197.56	297.92
134:	158.74	197.70	276.33
135:	161.89	197.44	301.55
136:	161.34	195.92	299.93
137:	160.46	199.77	287.04
138:	160.73	206.20	326.15
139:	156.31	202.14	354.52
140:	161.95	196.67	246.14
141:	166.36	196.84	233.00
142:	161.37	198.44	297.73
143:	164.08	198.21	263.73
144:	165.84	199.07	273.43
145:	169.76	223.59	365.74
146:	178.30	224.91	288.10
147:	191.51	231.69	340.92
148:	164.78	229.00	372.66
149:	157.33	190.37	286.75
150:	164.73	212.98	320.06
151:	165.82	210.32	371.87
152:	166.95	207.14	338.96
153:	165.94	208.10	324.32
154:	166.03	199.86	320.57
155:	157.99	184.92	273.01
156:	167.00	201.94	264.19
157:	167.63	205.33	286.73
158:	165.31	201.61	279.51
159:	173.78	206.85	298.25
160:	165.84	203.68	293.34
161:	159.71	205.63	283.22
162:	170.25	205.05	283.75
163:	168.85	207.44	299.52
164:	168.76	210.90	356.64
165:	173.23	204.51	291.56
166:	167.41	209.91	407.97
167:	169.50	206.47	304.54
168:	172.71	205.73	238.94
169:	169.77	209.01	283.70
170:	175.12	204.96	252.84
171:	168.63	207.18	300.21
172:	172.01	211.84	294.66
173:	170.66	208.47	273.79
174:	172.56	214.46	337.53
175:	169.99	211.81	306.67
176:	176.99	209.05	294.52
177:	167.53	214.92	352.19
178:	172.54	211.59	373.23
179:	172.42	215.84	352.40
180:	172.54	212.95	346.42
181:	179.71	208.96	268.49
182:	172.79	215.79	367.86
183:	173.72	214.12	316.64
184:	175.68	211.93	303.61
185:	176.56	211.34	277.48
186:	178.32	214.04	286.70
187:	178.40	216.81	339.32
188:	178.21	214.58	275.78
189:	169.44	216.41	333.38
190:	177.41	216.91	369.50
191:	176.58	214.51	317.43
192:	175.70	216.40	342.90
193:	179.26	217.89	356.98
194:	176.27	218.65	341.11
195:	163.17	197.21	287.37
196:	178.13	210.52	283.63
197:	174.82	219.88	319.07
198:	180.61	223.79	362.32
199:	159.71	224.37	381.81
200:	174.77	229.30	504.95
201:	168.49	234.47	523.87
202:	180.57	229.77	328.41
203:	179.67	224.68	322.13
204:	183.54	229.23	292.20
205:	183.72	232.72	343.82
206:	180.48	240.06	416.04
207:	185.53	228.50	301.06
208:	181.51	221.85	333.64
209:	186.93	221.42	306.36
210:	182.59	224.07	348.15
211:	182.82	225.40	314.25
212:	186.04	241.08	400.24
213:	182.24	237.83	376.37
214:	190.50	233.97	377.72
215:	199.88	239.86	371.04
216:	187.92	229.58	307.25
217:	202.86	235.70	279.00
218:	203.25	242.51	298.30
219:	199.82	236.39	314.48
220:	215.70	245.90	383.59
221:	214.88	253.39	371.90
222:	218.17	241.69	330.14
223:	255.46	276.78	368.71
224:	289.23	314.61	355.96
225:	289.97	314.27	354.00
226:	296.31	315.63	358.17
227:	291.92	315.04	378.80
228:	295.77	315.73	362.25
229:	293.75	331.76	399.94
230:	293.80	322.85	382.01
231:	273.25	315.66	390.83
232:	297.88	324.17	402.90
233:	298.32	338.22	387.18
234:	302.44	332.25	387.72
235:	300.90	351.53	403.78
236:	299.43	333.81	389.68
237:	301.63	333.65	399.94
238:	286.81	336.19	403.65
239:	295.44	322.27	359.85
240:	303.07	328.14	387.46
241:	295.09	334.36	394.15
242:	303.49	324.74	390.37
243:	273.85	312.84	388.97
244:	301.54	323.77	363.86
245:	291.85	322.59	402.26
246:	295.93	320.57	390.00
247:	305.83	319.75	376.99
248:	298.18	320.93	386.15
249:	298.38	320.92	371.02
