Compiled Apr 28 2018 16:09:55
ibuf at 0x7fbf05567000
dbuf at 0x7fbef5085000
233:	386.85	389.57	390.57
234:	386.99	389.89	391.22
235:	387.58	390.19	391.22
236:	387.95	390.66	391.88
237:	388.45	391.02	392.10
238:	388.96	391.76	395.01
239:	389.13	392.76	404.88
240:	390.87	393.47	394.43
241:	391.38	394.13	395.10
242:	391.91	394.56	395.61
243:	391.91	394.99	396.32
244:	392.69	395.65	396.82
245:	393.12	396.05	396.92
246:	394.08	396.75	398.11
247:	394.38	397.18	398.03
248:	394.47	397.15	398.13
249:	395.58	398.38	399.31
